Number,Name,Categories,Phone,Address,Rating,Rating Count
929,Slapfish,"Restaurants, Seafood Restaurants, American Restaurants",(424) 227-9380,"1 World Way Lax Airport Terminal 2, Los Angeles, CA 90045",rating not available/5,Review count not available
930,The Counter,"Restaurants, Hamburgers & Hot Dogs, American Restaurants",(424) 227-4423,"World Way Terminal 7, Los Angeles, CA 90045",rating not available/5,Review count not available
931,Planet Hollywood,"Restaurants, Bar & Grills",(323) 451-1004,"380 World Way Tom Bradley Terminal  Los Angeles International Airport, Los Angeles, CA 90045",rating not available/5,Review count not available
932,Krispy Rice,"Restaurants, Japanese Restaurants",(424) 277-0163,"9801 Airport Blvd # D, Los Angeles, CA 90045",rating not available/5,Review count not available
933,Kumi,"Restaurants, Sushi Bars, Japanese Restaurants",(424) 277-0162,"9801 Airport Blvd, Los Angeles, CA 90045",rating not available/5,Review count not available
934,Fin,"Restaurants, Sushi Bars, Asian Restaurants",(310) 398-8611,"12223 W Washington Blvd, Los Angeles, CA 90066",rating not available/5,Review count not available
935,FIN Asian Tapas - Culver City,"Restaurants, Asian Restaurants",(310) 398-8611,"12223 W Washington Blvd, Los Angeles, CA 90066",rating not available/5,Review count not available
936,Double Take,"Restaurants, American Restaurants, Bars",(310) 474-7765,"10740 Wilshire Blvd # 101, Los Angeles, CA 90024",rating not available/5,Review count not available
937,Tara's Market & Deli,"Restaurants, American Restaurants, Italian Restaurants",(310) 439-2507,"12131 Washington Pl, Los Angeles, CA 90066",rating not available/5,Review count not available
938,Melody Bar And Grill,"Restaurants, American Restaurants, Asian Restaurants",(310) 670-1994,"9132 S Sepulveda Blvd, Los Angeles, CA 90045",rating not available/5,Review count not available
939,Yokoso Sushi Bar,"Restaurants, Sushi Bars, Japanese Restaurants",(310) 642-7500,"5985 W Century Blvd  Crowne Plaza Los Angeles International Airport, Los Angeles, CA 90045",rating not available/5,Review count not available
940,The Proud Bird Restaurant,"Restaurants, Pizza, Family Style Restaurants",(310) 670-3093,"11022 Aviation Blvd, Los Angeles, CA 90045",rating not available/5,Review count not available
941,Asuka,"Restaurants, Sushi Bars, Japanese Restaurants",(424) 832-7284,"1553 Westwood Blvd, Los Angeles, CA 90024",rating not available/5,Review count not available
942,The HIDEOUT,"Restaurants, American Restaurants",(310) 691-7850,"930 Hilgard Avenue, Los Angeles, CA 90024",rating not available/5,Review count not available
943,Hatchet Hall,"Restaurants, American Restaurants, Seafood Restaurants",(310) 391-4222,"12517 W Washington Blvd, Los Angeles, CA 90066",rating not available/5,Review count not available
944,Killer Noodle Tsujita,"Restaurants, Japanese Restaurants, Asian Restaurants",(424) 293-0474,"2030 Sawtelle Blvd, Los Angeles, CA 90025",rating not available/5,Review count not available
945,DeCarlo Pizza Chicken & Pasta,"Restaurants, Italian Restaurants, Pizza",(310) 844-7436,"12460 Venice Blvd, Los Angeles, CA 90066",rating not available/5,Review count not available
946,Big Boi,"Restaurants, Filipino Restaurants, Asian Restaurants",(424) 832-7199,"2027 Sawtelle Blvd, Los Angeles, CA 90025",rating not available/5,Review count not available
947,B Sweet Dessert Bar,"Restaurants, American Restaurants, Caterers",(310) 963-9769,"2005 Sawtelle Blvd, Los Angeles, CA 90025",rating not available/5,Review count not available
948,Comoncy,"Restaurants, American Restaurants, Coffee & Tea",(310) 888-3620,"10900 Wilshire Blvd Ste 170A, Los Angeles, CA 90024",rating not available/5,Review count not available
949,Ministry of Coffee,"Restaurants, Coffee Shops, American Restaurants",(424) 256-2276,"1010 Glendon Ave, Los Angeles, CA 90024",rating not available/5,Review count not available
950,Tangaroa Fish Market,"Restaurants, Seafood Restaurants",(424) 289-8144,"12604 W Washington Blvd, Los Angeles, CA 90066",rating not available/5,Review count not available
951,Napa Valley Grille,"Restaurants, American Restaurants, Breakfast, Brunch & Lunch Restaurants",(310) 824-3322,"1100 Glendon Ave Ste 100, Los Angeles, CA 90024",rating not available/5,Review count not available
952,Rustic Kitchen,"Restaurants, American Restaurants, Sandwich Shops",(310) 390-1500,"3523 S Centinela Ave, Los Angeles, CA 90066",rating not available/5,Review count not available
953,Plateia,"Restaurants, American Restaurants, Caterers",(310) 794-3563,"425 Westwood Plz, Los Angeles, CA 90095",rating not available/5,Review count not available
954,Slapfish,"Restaurants, Seafood Restaurants",(424) 227-9380,"1 World Way, Los Angeles, CA 90045",rating not available/5,Review count not available
955,Kaido,"Restaurants, Sushi Bars, Caterers",(424) 293-8553,"1049 Gayley Ave, Los Angeles, CA 90024",rating not available/5,Review count not available
956,Sip Matcha,"Restaurants, Japanese Restaurants, American Restaurants",(424) 253-5850,"10967 Weyburn Ave, Los Angeles, CA 90024",rating not available/5,Review count not available
957,Kumi Westwood,"Restaurants, Sushi Bars, Japanese Restaurants",(424) 465-8003,"10975 Weyburn Ave, Los Angeles, CA 90024",rating not available/5,Review count not available
958,Shin-Sen-Gumi Hakata Ramen West L.A.,"Restaurants, Japanese Restaurants, Asian Restaurants",(424) 208-3293,"1601 Sawtelle Blvd Ste 101, Los Angeles, CA 90025",rating not available/5,Review count not available
959,Neli's Catering & Restaurant,"Restaurants, Delicatessens, Caterers",(310) 477-0031,"2214 Stoner Ave, Los Angeles, CA 90064",rating not available/5,Review count not available
960,Sanook Soi 38,"Restaurants, Chinese Restaurants, Japanese Restaurants",(310) 383-0014,"11419 Santa Monica Blvd, Los Angeles, CA 90025",rating not available/5,Review count not available
961,Sustainabowl,"Restaurants, Seafood Restaurants, Latin American Restaurants",(661) 869-4866,"8338 Lincoln Blvd, Los Angeles, CA 90045",rating not available/5,Review count not available
962,Coco Fresh Tea & Juice,"Restaurants, Chinese Restaurants, Asian Restaurants",(424) 750-9502,"8336 Lincoln Blvd, Los Angeles, CA 90045",rating not available/5,Review count not available
963,Beach Pizza,"Restaurants, Pizza, Caterers",(310) 827-2000,"8601 Lincoln Blvd, Los Angeles, CA 90045",rating not available/5,Review count not available
964,Lemonade,"Restaurants, American Restaurants",(424) 744-5978,"500 World Way, Los Angeles, CA 90045",rating not available/5,Review count not available
965,Asian Street Eats,"Restaurants, Korean Restaurants, Asian Restaurants",(323) 451-1004,"380 World Way, Los Angeles, CA 90045",rating not available/5,Review count not available
966,Percolate,"Restaurants, Asian Restaurants, Caterers",(424) 293-0934,"11870 Santa Monica Blvd, Los Angeles, CA 90025",rating not available/5,Review count not available
967,Wing Zone,"Restaurants, Chicken Restaurants, Family Style Restaurants",(855) 739-1313,"1523 S Bundy Dr, Los Angeles, CA 90025",rating not available/5,Review count not available
968,A.O.C. Brentwood,"Restaurants, American Restaurants, Mediterranean Restaurants",(310) 806-6464,"11648 San Vicente Blvd, Los Angeles, CA 90049",rating not available/5,Review count not available
969,Bistro Jolie,"Restaurants, American Restaurants, Take Out Restaurants",(310) 773-9484,"2922 N Beverly Glen Cir, Los Angeles, CA 90077",rating not available/5,Review count not available
970,Layla Mediterranean Cafe & Catering,"Restaurants, Mediterranean Restaurants, American Restaurants",(310) 310-2999,"11906 Wilshire Blvd, Los Angeles, CA 90025",rating not available/5,Review count not available
971,Jayde's Market,"Restaurants, American Restaurants, Continental Restaurants",(310) 773-9483,"2964 N Beverly Glen Cir, Los Angeles, CA 90077",rating not available/5,Review count not available
972,Jemma di Mare,"Restaurants, Seafood Restaurants, Italian Restaurants",(424) 955-2410,"11677 San Vicente Blvd Ste 200, Los Angeles, CA 90049",rating not available/5,Review count not available
973,Fresh Brothers Pizza Brentwood,"Restaurants, Pizza, Caterers",(310) 826-0777,"11740 San Vicente Blvd, Los Angeles, CA 90049",rating not available/5,Review count not available
974,Burger Lounge,"Restaurants, American Restaurants, Bars",(424) 248-3789,"11740 San Vicente Blvd, Los Angeles, CA 90049",rating not available/5,Review count not available
975,Krispy Rice - Brentwood,"Restaurants, Sushi Bars, Japanese Restaurants",(310) 237-6174,"11777 San Vicente Blvd Ste 100, Los Angeles, CA 90049",rating not available/5,Review count not available
976,Kumi Brentwood,"Restaurants, Japanese Restaurants",(310) 237-6174,"11777 San Vicente Blvd, Los Angeles, CA 90049",rating not available/5,Review count not available
977,West Restaurant & Lounge,"Restaurants, American Restaurants, Cocktail Lounges",(310) 481-7878,"170 N Church Ln, Los Angeles, CA 90049",rating not available/5,Review count not available
978,The Bel-Air Restaurant,"Restaurants, Barbecue Restaurants, Bars",(310) 440-5544,"662 N Sepulveda Blvd, Los Angeles, CA 90049",rating not available/5,Review count not available
979,Pace Joint,"Restaurants, American Restaurants, Pizza",(323) 745-5141,"7860 Sunset Blvd, Los Angeles, CA 90046",rating not available/5,Review count not available
980,Cantalinis Salerno Beach Restaurant,"Restaurants, Italian Restaurants",(310) 821-0018,"193 Culver Blvd  Playa Del Rey, Los Angeles, CA 90293",rating not available/5,Review count not available
981,C~Viche Express,"Restaurants, Seafood Restaurants, Latin American Restaurants",(818) 810-5711,"16205 Parthenia St  Next To 7 11, Los Angeles, CA 91343",rating not available/5,Review count not available
982,San Pedro Fish Market Grille - Wilmington,"Restaurants, Seafood Restaurants, Mexican Restaurants",(310) 835-6671,"120 W G St  Wilmington, Los Angeles, CA 90744",rating not available/5,Review count not available
983,Kurrypinch,"Restaurants, Asian Restaurants",(818) 201-6674,"19347 Ventura Blvd  Tarzana, Los Angeles, CA 91401",rating not available/5,Review count not available
984,The Mighty Restaurant,"Restaurants, Seafood Restaurants, Caterers",(213) 278-0025,"108 W 2nd St, Los Angeles, CA 90012",rating not available/5,Review count not available
985,Marukai Corp,"Restaurants, Japanese Restaurants, Japanese Grocery Stores",(213) 893-7200,"123 Astronaut E S Onizuka St Ste 101, Los Angeles, CA 90012",rating not available/5,Review count not available
986,Mako Sushi,"Restaurants, Sushi Bars, Japanese Restaurants",(213) 613-0083,"123 Astronaut E S Onizuka St Ste 307, Los Angeles, CA 90012",rating not available/5,Review count not available
987,Izakaya & BAR Fu-ga,"Restaurants, Sushi Bars, Bars",(213) 625-1722,"111 S San Pedro St, Los Angeles, CA 90012",rating not available/5,Review count not available
988,Ootoro,"Restaurants, Chinese Restaurants",(213) 278-0146,"232 E 2nd St, Los Angeles, CA 90012",rating not available/5,Review count not available
989,Aizen Udon,"Restaurants, Japanese Restaurants",(213) 278-0760,"232 E 2nd St Ste B, Los Angeles, CA 90012",rating not available/5,Review count not available
990,Tamon,"Restaurants, Japanese Restaurants, Caterers",(213) 617-7839,"328 E 1st St, Los Angeles, CA 90012",rating not available/5,Review count not available
991,Kagaya Restaurant,"Restaurants, Family Style Restaurants",(213) 625-5700,"319 E 2nd St, Los Angeles, CA 90012",rating not available/5,Review count not available
992,Sake Dojo,"Restaurants, Asian Restaurants, Japanese Restaurants",(213) 234-0957,"333 E 1st St, Los Angeles, CA 90012",rating not available/5,Review count not available
993,Takoyaki Tanota,"Restaurants, Japanese Restaurants, Food Trucks",(213) 626-0481,"350 E 1st St, Los Angeles, CA 90012",rating not available/5,Review count not available
994,Mr Ramen,"Restaurants, Japanese Restaurants, Asian Restaurants",(213) 626-4252,"341 1/2 E 1st St, Los Angeles, CA 90012",rating not available/5,Review count not available
995,Hachioji Craft Ramen,"Restaurants, Asian Restaurants",(213) 265-7799,"313 E 1st St  Little Tokyo, Los Angeles, CA 90012",rating not available/5,Review count not available
996,Sushi Enya,"Restaurants, Sushi Bars, Japanese Restaurants",(626) 365-3512,"343 E 1st St, Los Angeles, CA 90012",rating not available/5,Review count not available
997,Izakaya Gazen,"Restaurants, Japanese Restaurants",(213) 613-1415,"362 E 1st St, Los Angeles, CA 90012",rating not available/5,Review count not available
998,China Cafe,"Restaurants, Chinese Restaurants, Take Out Restaurants",(213) 628-8481,"317 S Broadway  Grand Central Market, Los Angeles, CA 90013",rating not available/5,Review count not available
999,The Oyster Gourmet Kiosk,"Restaurants, Seafood Restaurants, Caterers",(310) 570-0682,"317 S Broadway, Los Angeles, CA 90013",rating not available/5,Review count not available
1000,Knead & Co,"Restaurants, Italian Restaurants, Caterers",(213) 624-2378,"317 S Broadway, Los Angeles, CA 90013",rating not available/5,Review count not available
1001,Prawn Coastal,"Restaurants, Seafood Restaurants",(310) 210-7637,"317 S Broadway, Los Angeles, CA 90013",rating not available/5,Review count not available
1002,Sticky Rice,"Restaurants, Thai Restaurants, Asian Restaurants",(213) 621-2865,"317 S Broadway # C, Los Angeles, CA 90013",rating not available/5,Review count not available
1003,Bombo Foods,"Restaurants, Seafood Restaurants, American Restaurants",(213) 628-3400,"317 S Broadway, Los Angeles, CA 90013",rating not available/5,Review count not available
1004,Jose Chiquito,"Restaurants, American Restaurants, Sandwich Shops",(213) 680-3363,"317 S Broadway, Los Angeles, CA 90013",rating not available/5,Review count not available
1005,Teishokuya of Tokyo,"Restaurants, Japanese Restaurants, Asian Restaurants",(213) 680-0344,"345 E 2nd St, Los Angeles, CA 90012",rating not available/5,Review count not available
1006,Ramen Maruya,"Restaurants, Sushi Bars, Japanese Restaurants",(213) 613-9988,"104 Japanese Village Plaza Mall, Los Angeles, CA 90012",rating not available/5,Review count not available
1007,Sushi & Teri,"Restaurants, Sushi Bars, Japanese Restaurants",(213) 687-8368,"116 Japanese Village Plaza Mall, Los Angeles, CA 90012",rating not available/5,Review count not available
1008,Dr J Vibrant Cafe,"Restaurants, Cafeterias, Caterers",(213) 537-0905,"334 S Main St, Los Angeles, CA 90013",rating not available/5,Review count not available
1009,Sushi Zo,"Restaurants, Japanese Restaurants, Asian Restaurants",(213) 935-8409,"334 S Main St Ste 1106, Los Angeles, CA 90013",rating not available/5,Review count not available
1010,Bar Ama,"Restaurants, Mexican Restaurants, Bar & Grills",(213) 687-8002,"118 W 4th St, Los Angeles, CA 90013",rating not available/5,Review count not available
1011,Horse Theif BBQ,"Restaurants, Barbecue Restaurants, Caterers",(213) 625-0341,"324 S Hill St, Los Angeles, CA 90013",rating not available/5,Review count not available
1012,Ledlow,"Restaurants, American Restaurants, Caterers",(213) 687-7015,"400 S Main St, Los Angeles, CA 90013",rating not available/5,Review count not available
1013,PYT,"Restaurants, American Restaurants, Vegetarian Restaurants",(213) 687-7015,"400 S Main St, Los Angeles, CA 90013",rating not available/5,Review count not available
1014,Orsa & Winston,"Restaurants, Sushi Bars, Japanese Restaurants",(213) 687-0300,"122 W 4th St, Los Angeles, CA 90013",rating not available/5,Review count not available
1015,Izakaya Haru Ulala,"Restaurants, Asian Restaurants",(213) 620-0977,"368 E 2nd St, Los Angeles, CA 90012",rating not available/5,Review count not available
1016,Precinct,"Restaurants, Barbecue Restaurants, Bars",(213) 628-3112,"357 S Broadway, Los Angeles, CA 90013",rating not available/5,Review count not available
1017,Pestolini,"Restaurants, Family Style Restaurants, Caterers",(213) 265-7624,"363 S Broadway, Los Angeles, CA 90013",rating not available/5,Review count not available
1018,Urban Seoul,"Restaurants, Korean Restaurants, Asian Restaurants",(213) 625-2228,"136 S Central Ave, Los Angeles, CA 90012",rating not available/5,Review count not available
1019,Vespaio,"Restaurants, Mediterranean Restaurants, Caterers",(213) 221-7244,"225 S Grand Ave, Los Angeles, CA 90012",rating not available/5,Review count not available
1020,Pavilion Caterers,"Restaurants, Family Style Restaurants, Caterers",(213) 972-7318,"135 N Grand Ave, Los Angeles, CA 90012",rating not available/5,Review count not available
1021,Shiatsu Tokyo Japanese Health,"Restaurants, Japanese Restaurants, Asian Restaurants",(213) 617-1249,"211 S Central Ave, Los Angeles, CA 90012",rating not available/5,Review count not available
1022,Blossom Restaurant,"Restaurants, Vietnamese Restaurants, Family Style Restaurants",(213) 623-1973,"426 S Main St, Los Angeles, CA 90013",rating not available/5,Review count not available
1023,The Escondite,"Restaurants, American Restaurants, Bars",(213) 626-1800,"410 Boyd St, Los Angeles, CA 90013",rating not available/5,Review count not available
1024,Corner Bakery Cafe,"Restaurants, Sandwich Shops, Breakfast, Brunch & Lunch Restaurants",(213) 921-4450,"300 S Grand Ave, Los Angeles, CA 90071",rating not available/5,Review count not available
1025,Cbc Restaurant Corp,"Restaurants, Family Style Restaurants",(213) 437-2141,"300 S Grand Ave, Los Angeles, CA 90071",rating not available/5,Review count not available
1026,Kouske Noodle Square,"Restaurants, Asian Restaurants",(626) 289-8030,"618 N Main St, Los Angeles, CA 90012",rating not available/5,Review count not available
1027,Prufrock Pizzeria,"Restaurants, Pizza, Caterers",(323) 284-5661,"446 S Main St, Los Angeles, CA 90013",rating not available/5,Review count not available
1028,Abraccimi Inc,"Restaurants, Italian Restaurants",(213) 239-9019,"464 S Main St, Los Angeles, CA 90013",rating not available/5,Review count not available
1029,Las Anitas Restaurant,"Restaurants, Latin American Restaurants, Take Out Restaurants",(213) 623-1153,"26 Olvera St, Los Angeles, CA 90012",rating not available/5,Review count not available
1030,Van Thai Inc,"Restaurants, Thai Restaurants, Asian Restaurants",(213) 620-1732,"400 S San Pedro St, Los Angeles, CA 90013",rating not available/5,Review count not available
1031,Poke Bar,"Restaurants, Seafood Restaurants, Hawaiian Restaurants",(213) 613-9972,"350 S Grand Ave, Los Angeles, CA 90071",rating not available/5,Review count not available
1032,George's Greek Grill,"Restaurants, Greek Restaurants, Mediterranean Restaurants",(213) 260-2358,"350 S Grand Ave Ste D3, Los Angeles, CA 90071",rating not available/5,Review count not available
1033,Executive Lunch To Go,"Restaurants, Take Out Restaurants, Caterers",(213) 385-7550,"459 E 4th St, Los Angeles, CA 90013",rating not available/5,Review count not available
1034,Allegro,"Restaurants, Italian Restaurants",(213) 265-7003,"432 E 2nd St, Los Angeles, CA 90012",rating not available/5,Review count not available
1035,Wing Street,"Restaurants, American Restaurants, Take Out Restaurants",(213) 489-3863,"514 S Spring St, Los Angeles, CA 90013",rating not available/5,Review count not available
1036,Pentolino to Go,"Restaurants, Seafood Restaurants",(213) 680-7387,"330 S Hope St, Los Angeles, CA 90071",rating not available/5,Review count not available
1037,Los Compadres Restaurant,"Restaurants, Family Style Restaurants, Latin American Restaurants",(213) 626-1533,"633 N Spring St, Los Angeles, CA 90012",rating not available/5,Review count not available
1038,Trimana,"Restaurants, American Restaurants, Mexican Restaurants",(213) 680-2261,"333 S Hope St Ste C375, Los Angeles, CA 90071",rating not available/5,Review count not available
1039,Spring Street Smokehouse,"Restaurants, Barbecue Restaurants, Caterers",(213) 626-0535,"640 N Spring St, Los Angeles, CA 90012",rating not available/5,Review count not available
1040,Blu Jam Cafe,"Restaurants, American Restaurants, Breakfast, Brunch & Lunch Restaurants",(213) 266-8909,"541 S Spring St, Los Angeles, CA 90013",rating not available/5,Review count not available
1041,Creative Dining Concepts,"Restaurants, Seafood Restaurants",(213) 265-7428,"541 S Spring St, Los Angeles, CA 90013",rating not available/5,Review count not available
1042,Noodles & Company,"Restaurants, Asian Restaurants",(213) 372-5464,"642 N Broadway, Los Angeles, CA 90012",rating not available/5,Review count not available
1043,Justice Urban Tavern,"Restaurants, American Restaurants, Bars",(213) 253-9235,"120 S St, Los Angeles, CA 90012",rating not available/5,Review count not available
1044,Kai Japanese Roots,"Restaurants, Japanese Restaurants",(213) 232-4900,"542 S Broadway, Los Angeles, CA 90013",rating not available/5,Review count not available
1045,China Town Gate Inc,"Restaurants, Chinese Restaurants, Asian Restaurants",(213) 626-0246,"639 N Broadway, Los Angeles, CA 90012",rating not available/5,Review count not available
1046,Oleego,"Restaurants, Korean Restaurants",(213) 613-9092,"639 N Broadway, Los Angeles, CA 90012",rating not available/5,Review count not available
1047,POV Snack Shop - Gourmet Wings,"Restaurants, American Restaurants, Chicken Restaurants",(213) 236-0962,"544 S Broadway, Los Angeles, CA 90013",rating not available/5,Review count not available
1048,FryMadness,"Restaurants, American Restaurants, Barbecue Restaurants",(213) 797-2847,"557 S Spring St, Los Angeles, CA 90013",rating not available/5,Review count not available
1049,McCormick & Schmick's,"Restaurants, Seafood Restaurants, American Restaurants",(213) 629-1929,"400 S Hope St, Los Angeles, CA 90071",rating not available/5,Review count not available
1050,Nobuko's Kitchen,"Restaurants, Asian Restaurants",(213) 687-8432,"333 S Alameda St, Los Angeles, CA 90013",rating not available/5,Review count not available
1051,Honda Ya Japanese Restaurant,"Restaurants, Japanese Restaurants, Hawaiian Restaurants",(213) 625-1184,"333 S Alameda St Ste 314, Los Angeles, CA 90013",rating not available/5,Review count not available
1052,Wake & Late,"Restaurants, American Restaurants, Coffee & Tea",(213) 537-0820,"105 E 6th St, Los Angeles, CA 90014",rating not available/5,Review count not available
1053,Sushi Chef Institute,"Restaurants, Japanese Restaurants, Sushi Bars",(213) 617-6825,"222 S Hewitt St, Los Angeles, CA 90012",rating not available/5,Review count not available
1054,Z's Dtla,"Restaurants, Chinese Restaurants",(213) 244-1444,"401 S Hope St, Los Angeles, CA 90071",rating not available/5,Review count not available
1055,Zip Sushi Izakaya,"Restaurants, Asian Restaurants",(213) 680-3770,"744 E 3rd St, Los Angeles, CA 90013",rating not available/5,Review count not available
1056,My Dung Sandwich Shop,"Restaurants, Sandwich Shops, Vietnamese Restaurants",(213) 617-7094,"314 Ord St, Los Angeles, CA 90012",rating not available/5,Review count not available
1057,Daikokuya Little Tokyo,"Restaurants, Japanese Restaurants, Asian Restaurants",(213) 626-1680,"327 1st Street, Los Angeles, CA 90012",rating not available/5,Review count not available
1058,The Black Sheep,"Restaurants, Asian Restaurants",(213) 689-5022,"126 E 6th St, Los Angeles, CA 90014",rating not available/5,Review count not available
1059,Palikao,"Restaurants, Seafood Restaurants, Caterers",(213) 265-7006,"130 E 6th St, Los Angeles, CA 90014",rating not available/5,Review count not available
1060,California Dining Metro Cafe,"Restaurants, Asian Restaurants",(213) 922-6330,"1 Gateway Plz, Los Angeles, CA 90012",rating not available/5,Review count not available
1061,Kiss Pizza,"Restaurants, Pizza, Italian Restaurants",(213) 629-5033,"399 W 6th St, Los Angeles, CA 90014",rating not available/5,Review count not available
1062,Sunlake BBQ Dimsum,"Restaurants, Barbecue Restaurants",(213) 680-3608,"429 Ord St, Los Angeles, CA 90012",rating not available/5,Review count not available
1063,McCormick & Schmick's,"Restaurants, Seafood Restaurants, American Restaurants",(213) 629-1929,"633 W 5th St, Los Angeles, CA 90071",rating not available/5,Review count not available
1064,ABC Seafood Restaurant,"Restaurants, Seafood Restaurants, Caterers",(213) 680-2887,"205 Ord St, Los Angeles, CA 90012",rating not available/5,Review count not available
1065,Silverlake Ramen,"Restaurants, Asian Restaurants",(213) 372-5177,"615 S Spring St, Los Angeles, CA 90014",rating not available/5,Review count not available
1066,Lucky Deli,"Restaurants, Chinese Restaurants, Asian Restaurants",(213) 625-7847,"706 N Broadway, Los Angeles, CA 90012",rating not available/5,Review count not available
1067,New Kamara Restaurant,"Restaurants, Chinese Restaurants, Asian Restaurants",(213) 620-1090,"709 N Hill St, Los Angeles, CA 90012",rating not available/5,Review count not available
1068,Arda's Cafe,"Restaurants, Delicatessens, American Restaurants",(213) 689-4438,"418 W 6th St, Los Angeles, CA 90014",rating not available/5,Review count not available
1069,Checker Restaurant,"Restaurants, Family Style Restaurants",(213) 891-0519,"535 S Grand Ave, Los Angeles, CA 90071",rating not available/5,Review count not available
1070,China Daily,"Restaurants, Chinese Restaurants",(213) 232-0130,"350 S Figueroa St, Los Angeles, CA 90071",rating not available/5,Review count not available
1071,Thien Huong Restaurant,"Restaurants, Family Style Restaurants",(213) 626-0764,"727 N Broadway, Los Angeles, CA 90012",rating not available/5,Review count not available
1072,J & K Hong Kong Cuisine,"Restaurants, Chinese Restaurants",(213) 617-0638,"727 N Broadway, Los Angeles, CA 90012",rating not available/5,Review count not available
1073,Kogi Restaurant Group,"Restaurants, Korean Restaurants, Family Style Restaurants",(213) 613-1215,"727 N Broadway, Los Angeles, CA 90012",rating not available/5,Review count not available
1074,Friendly Seafood Restaurant,"Restaurants, Family Style Restaurants",(213) 928-0833,"727 N Broadway, Los Angeles, CA 90012",rating not available/5,Review count not available
1075,Qin Western Chinese Cuisine,"Restaurants, Chinese Restaurants, Asian Restaurants",(213) 687-1063,"727 N Broadway Ste 111, Los Angeles, CA 90012",rating not available/5,Review count not available
1076,Easy’s Burgers,"Restaurants, Hamburgers & Hot Dogs, American Restaurants",(213) 537-0053,"727 N Broadway Ste 120, Los Angeles, CA 90012",rating not available/5,Review count not available
1077,Lasa,"Restaurants, Filipino Restaurants, Asian Restaurants",(213) 443-6163,"727 N Broadway Ste 120, Los Angeles, CA 90012",rating not available/5,Review count not available
1078,Ramen Champ,"Restaurants, Asian Restaurants",(213) 316-8595,"727 N Broadway, Los Angeles, CA 90012",rating not available/5,Review count not available
1079,Manuela,"Restaurants, American Restaurants, Caterers",(323) 849-0480,"907 E 3rd St, Los Angeles, CA 90013",rating not available/5,Review count not available
1080,Super Grill,"Restaurants, Continental Restaurants, Bar & Grills",(213) 624-5644,"639 S Broadway, Los Angeles, CA 90014",rating not available/5,Review count not available
1081,Ninety-Nine Restaurant and Pub,"Restaurants, American Restaurants, Family Style Restaurants",(213) 687-7178,"923 E 3rd St Ste 109, Los Angeles, CA 90013",rating not available/5,Review count not available
1082,Wing Kong Trading Co,"Restaurants, American Restaurants",(213) 626-8888,"923 E 3rd St, Los Angeles, CA 90013",rating not available/5,Review count not available
1083,Rama Thai Cuisine,"Restaurants, Thai Restaurants, Asian Restaurants",(213) 624-9996,"625 S Hill St, Los Angeles, CA 90014",rating not available/5,Review count not available
1084,Mi Ma's,"Restaurants, Seafood Restaurants",(213) 628-3638,"628 St Vincent Ct, Los Angeles, CA 90014",rating not available/5,Review count not available
1085,Alaska Seafood Co Inc,"Restaurants, Seafood Restaurants, Fish & Seafood-Wholesale",(213) 626-1212,"441 Gladys Ave, Los Angeles, CA 90013",rating not available/5,Review count not available
1086,Olive Bistro,"Restaurants, Italian Restaurants, Caterers",(213) 327-1186,"619 S Olive St, Los Angeles, CA 90014",rating not available/5,Review count not available
1087,Korean B-B-Q Plus,"Restaurants, Korean Restaurants, Asian Restaurants",(213) 624-5111,"404 S Figueroa St, Los Angeles, CA 90071",rating not available/5,Review count not available
1088,Cap'n Lee's Seafood,"Restaurants, Seafood Restaurants",(213) 627-3439,"404 S Figueroa St, Los Angeles, CA 90071",rating not available/5,Review count not available
1089,K'Grill Korean Cuisine,"Restaurants, Korean Restaurants, Asian Restaurants",(213) 624-5111,"404 S Figueroa St Ste 409, Los Angeles, CA 90071",rating not available/5,Review count not available
1090,LA Prime Steakhouse,"Restaurants, Steak Houses, Take Out Restaurants",(213) 612-4743,"404 S Figueroa St, Los Angeles, CA 90071",rating not available/5,Review count not available
1091,Ocean Jewels,"Restaurants, Seafood Restaurants, Fish & Seafood-Wholesale",(213) 627-1477,"556 Towne Ave, Los Angeles, CA 90013",rating not available/5,Review count not available
1092,Rice Garden,"Restaurants, Chinese Restaurants, Caterers",(213) 622-3566,"505 S Flower St, Los Angeles, CA 90071",rating not available/5,Review count not available
1093,Little Damage,"Restaurants, American Restaurants, Ice Cream & Frozen Desserts",(213) 628-3443,"700 S Spring St, Los Angeles, CA 90014",rating not available/5,Review count not available
1094,Mitaki Japaneses Restaurant,"Restaurants, Japanese Restaurants, Sushi Bars",(213) 623-8923,"630 W 6th St, Los Angeles, CA 90017",rating not available/5,Review count not available
1095,RiceBox,"Restaurants, Asian Restaurants, Caterers",(213) 988-7395,"419 W 7th St, Los Angeles, CA 90014",rating not available/5,Review count not available
1096,Rice Garden,"Restaurants, Chinese Restaurants",(213) 622-3566,"555 S Flower St, Los Angeles, CA 90071",rating not available/5,Review count not available
1097,Funculo,"Restaurants, Italian Restaurants",(310) 689-9396,"724 S Spring St, Los Angeles, CA 90014",rating not available/5,Review count not available
1098,Buddha Belly,"Restaurants, Asian Restaurants",(626) 493-8445,"724 S Spring St, Los Angeles, CA 90014",rating not available/5,Review count not available
1099,Kw Food Inc,"Restaurants, Chinese Restaurants",(213) 346-3466,"801 N Hill St, Los Angeles, CA 90012",rating not available/5,Review count not available
